category;question;answer
Pop culture, loisirs et sports;"Selon le titre de la chanson de Rika Zaraï, on ira danser ""sans chemise sans...";Pantalon
Pop culture, loisirs et sports;"Comment se prénomme le personnage de Jennifer Aniston, dans ""Friends"" ?";Rachel
Pop culture, loisirs et sports;"Quelle animatrice, prénommée Christine, porte un nom synonyme ""d'applaudissement"" ?";Christine Bravo
Pop culture, loisirs et sports;"Quel nom de personnage de bande dessinée, Thierry Lhermitte porte-t-il dans la saga ""Les Bronzés"" de Patrice Leconte ?";Popeye
Pop culture, loisirs et sports;En 1960, quel chanteur incarne le musicien Charlie dans le film de François Truffaut “Tirez sur le pianiste” ?;Charles Aznavour
Pop culture, loisirs et sports;"En 1981, Michel Sardou rend hommage en chanson à la ""femme des années...";80
Pop culture, loisirs et sports;Quel est le prénom du petit garçon qui se lie d'amitié avec “E.T. l'extraterrestre” ?;Elliot
Pop culture, loisirs et sports;Dans le dessin animé, quel est le nom du petit cochon meilleur ami de Winnie l'ourson ?;Porcinet
Pop culture, loisirs et sports;Quelle ville de France est représentée en Ligue 1 de football par son club : l'OGCN ?;Nice
Pop culture, loisirs et sports;"Dans quelle série Jonathan et Jennifer Hart sont-ils des ""justiciers milliardaires"" ?";Pour l'amour du risque ou Hart To Hart
Pop culture, loisirs et sports;Dans les compétitions internationales de basket-ball, combien de fautes personnelles un joueur peut-il commettre avant d'être exclu du terrain ?;Cinq
Vie quotidienne;Quel gâteau, fourré de crème pralinée et parsemé d'amandes effilées, tient son nom d'une course cycliste ?;Le Paris-Brest
Vie quotidienne;"Quel fruit ""olivette"", ""coeur de pigeon"" ou ""coeur de boeuf"", est le principal ingrédient du ketchup ?";La tomate
Vie quotidienne;"Quel titre honorifique a pour abréviation les lettres ""Mgr"" ?";Monseigneur
Vie quotidienne;Quel mot désigne à la fois un appareil orthopédique qui sert à maintenir la tête en bonne position et une déesse romaine ?;Minerve
Vie quotidienne;À qui Lionel Jospin succède-t-il au ministère de l'Éducation nationale, en 1988 ?;René Monory
Vie quotidienne;En Allemagne, quelle femme politique est devenue présidente de la C.D.U. en 2000 ?;Angela Merkel
Vie quotidienne;Quel appareil sert à chauffer de l'eau pour faire du café ou du thé ?;La bouilloire
Vie quotidienne;Quel est le prénom du frère de Fidel Castro, qui lui a succédé à la tête de l'État cubain en 2008 ?;Raul
Vie quotidienne;Quel gâteau, fourré de crème pralinée et parsemé d'amandes effilées, tient son nom d'une course cycliste ?;Le Paris-Brest
Vie quotidienne;Quel homme politique américain fut président des États-Unis de 1801 à 1809 ?;Thomas Jefferson
Vie quotidienne;Inventé par Percy Spencer en 1945, quel appareil électroménager agite les molécules d'eau des aliments pour les cuite, à l'aide d'un rayonnement ? ;Le microondes
Connaissance du monde;"A quelle couleur primaire se rapporte la couleur ""bouton-d'or"" ?";Le jaune
Connaissance du monde;Selon le proverbe, que doit ménager celui qui veut voyager loin ?;Sa monture
Connaissance du monde;Sur quel continent se situe l'Arménie ?;L'Asie
Connaissance du monde;Quel nom donne-t-on à l'élevage des huîtres ?;L'ostréiculture
Connaissance du monde;Quel est le nom de la mer qui baigne la ville soudanaise de Port-Soudan ?;La Mer Rouge
Connaissance du monde;Quel âge a un monument tricentenaire ?;Trois cents ans ou trois siècles
Connaissance du monde;Quel insecte peut transmettre le paludisme ?;Le moustique ou L'anophèle
Connaissance du monde;"Dans l'expression ""Au temps pour moi"", épelez ""au temps""...";AU TEMPS
Connaissance du monde;En français, quel nom porte la grand-place de Venise ?;La place Saint-Marc
Connaissance du monde;Quel est le plus grand lac d'Amérique du Nord ?;Le lac Supérieur
Connaissance du monde;Quelle fleur a donné son nom à une position assise de Bouddha et des adeptes du yoga ?;Le lotus
Savoirs académiques;Quel célèbre gentleman cambrioleur fut créé par Maurice Leblanc ?;Arsène Lupin
Savoirs académiques;Si vous soustrayez 30° à un angle droit, combien de degrés lui reste-t-il ?;60°
Savoirs académiques;En géométrie euclidienne, quel polygone plat a le plus petit nombre de côtés ?;Le triangle
Savoirs académiques;"Quels héros de bande dessinée s'appellent ""Tim"" et ""Struppi"" en allemand ?";Tintin et Milou
Savoirs académiques;Quelle fut la première dynastie de souverains, en France ?;Les Mérovingiens
Savoirs académiques;Quelle est la couleur du Petit Chaperon de Charles Perrault ?;Rouge
Savoirs académiques;"Au collège, quel diplôme national se cache derrière le sigle ""D.N.B."" ?";Le brevet ou diplôme national du brevet
Savoirs académiques;Qui a peint le plafond de la chapelle Sixtine ?;Michel-Ange
Savoirs académiques;Quel nom, faisant penser au ciel, désigne le stockage des données en ligne ? ;Le Cloud
Savoirs académiques;"Quel auteur a écrit ""À la recherche du temps perdu"" ? ";Marcel Proust
Savoirs académiques;Quel portrait d'une jeune femme au sourire énigmatique, exposé au Louvre, a été peint par Léonard de Vinci ?;La Joconde ou Portrait de Mona Lisa
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
