category,order,question,answer
Manche 1,1,Comment appelle-t-on l'anniversaire que l'on célèbre après un an de mariage ?,Les noces de coton
Manche 1,2,Quel film de Luc Besson a pour titre le nom d'une navette spatiale ?,Atlantis
Manche 1,3,"Dans Babar, quel est le nom de la reine des éléphants ?",Céleste
Manche 1,4,"Quelle artiste britannique a sorti quatre albums au total : “19”, “21”, “25” et “30” ?",Adèle
Manche 1,5,"Dans le générique de “La Petite Maison dans la Prairie”, comment s'appelle la petite fille qui chute accidentellement dans le pré ?",Carrie ou Caroline Celestia
Manche 1,6,"Qui portait le matricule ""46664"" alors qu'il était prisonnier à Robben Island ?",Nelson Mandela ou Nelson Rolihlahla Mandela
Manche 1,7,"Quel est le nom de famille du peintre impressionniste prénommé Auguste, et de son fils cinéaste, prénommé Jean ?",Renoir
Manche 1,8,Comment s'appelait le premier avion supersonique commercial ?,Concorde
Manche 1,9,Sur quelle île de l'océan Indien se trouvent le piton des Neiges et le piton de la Fournaise ?,La Réunion
Manche 1,10,"En novembre 1970, après la mort du général de Gaulle, quel journal a eu pour phrase de titre : ""Bal tragique à Colombey - 1 mort"" ?",Hara Kiri
Manche 1,11,Quel document contient l'identité du titulaire d'un compte et ses coordonnées bancaires ?,Un relevé d'identité bancaire
Manche 1,12,Quel joueur de tennis a remporté le tournoi de Wimbledon en 2024 ?,Carlos Alcaraz
Manche 1,13,"De quel roman de Dostoïevski publié en 1866, Raskolnikov est-il le héros ?",Crime et Châtiment
Manche 1,14,Quelle chanteuse canadienne a réinterprété le titre “Dernière Danse” de Kyo en 2023 ?,Cœur de Pirate
Manche 1,15,"En janvier 2025, quelle personnalité américaine enregistre le plus grand nombre d'abonnés sur Youtube ?",MrBeast
Manche 1,16,Qui fut le second président de la IVe République ?,René Coty
Manche 1,17,"À la Belote, quelles sont les deux plus fortes cartes à l'atout ?",Valet et neuf
Manche 1,18,Quelle est la racine carrée de 144 ?,Douze
Manche 1,19,Quel État membre de l'Union européenne est à la fois voisin de la Lituanie et de l'Estonie ?,La Lettonie
Manche 1,20,"Quel pilote, considéré comme une légende du rallye, a remporté 9 titres consécutifs en WRC entre 2004 et 2022 ?",Sébastien Loeb
Manche 1,21,"Comment appelle-t-on le trou d'une aiguille, où passe le fil ?",Le chas
Manche 1,22,"Dans le sigle américain ""FBI"", à quel mot correspond la lettre ""F"" ?",Federal
Manche 1,23,"Quelle rivière d'Europe centrale a un nom qui désigne, en langage familier français, une flatulence ?",La prout
Manche 1,24,Sur quelle pochette d'un album de Nirvana voit-on un bébé qui nage vers un billet retenu par un hameçon ?,Nevermind
Manche 1,25,"Qu'est-ce qui peut être ""de fa"", ""anglaise"" ou à ""molette"" ?",Une clé
Manche 1,26,"Quelle préparation culinaire peut être ""norvégienne"" quand elle est sucrée et ""aux fines herbes"" quand elle est salée ?",L'omelette
Manche 1,27,"Au football, quel est le nom de la zone rectangulaire délimitée à 16,50 m de la ligne de but ?",La surface de réparation
Manche 1,28,À quelle famille d'instruments de musique appartiennent le bongo et le triangle ?,Les instruments à percussion
Manche 1,29,Combien de grammes compte un kilogramme ?,Mille
Manche 1,30,Quelle est l'avant-dernière voyelle de notre alphabet ?,U
Connaissance du monde,1,Quel nom portait l'épée magique du roi Arthur ?,Excalibur
Connaissance du monde,2,Quel nom donne-t-on aux habitants de la Nouvelle-Zélande ?,Les Néo-Zélandais
Connaissance du monde,3,Sur quelle île d'Italie se trouve la ville de Catane ?,La Sicile
Connaissance du monde,4,"Quel nom désigne à la fois l'arbuste à baies noires, proche du groseillier, et le contraire d'un dos d'âne ?",Le cassis
Connaissance du monde,5,"Quel animal, réputé pour vivre dans le feu, était l'emblème de François Ier ?",Une salamandre
Connaissance du monde,1,Quel nom désigne les bidonvilles brésiliens ?,Une favela
Connaissance du monde,2,Avec quel État la Corée du Sud a-t-elle une frontière terrestre au nord ?,La Corée du Nord
Connaissance du monde,3,Quelle ville est le chef-lieu du département de la Côte-d'Or ?,Dijon
Connaissance du monde,4,"En quelle année a été signé le traité de Maastricht, créant ainsi l'Union européenne ?",1992
Connaissance du monde,5,"A Grenade, quel nom porte la résidence des anciens princes arabes, célèbre pour ses jardins ?",L'Alhambra
Connaissance du monde,Départage,Quel animal est le symbole actuel de la ville de Berlin ?,L'ours
Connaissance du monde,Départage,Quel type de pont est caractérisé par son tablier qui se lève et se baisse pour ouvrir ou fermer l'entrée d'un château-fort ?,Un pont-levis
Loisirs et sports,1,"A la télévision française, qu'y a-t-il d'écrit sur la case noire de ""La Roue de la fortune"" ?",Banqueroute
Loisirs et sports,2,"Au tennis, quel est le seul tournoi du Grand Chelem à se dérouler sur gazon ?",Wimbledon
Loisirs et sports,3,Quelle icône de la mode est la rédactrice en chef de l'édition américaine du magazine Vogue depuis 1988 ?,Anna Wintour
Loisirs et sports,4,"Quelle série de jeux vidéos, se déroulant dans le royaume d'Hyrule, met en scène le personnage de Link ?",Zelda
Loisirs et sports,5,Quel est le dernier coureur cycliste français à avoir remporté le Tour de France ?,Bernard Hinault
Loisirs et sports,1,"À skis, quel freinage consiste à écarter les talons en rapprochant l'avant des spatules ?",Le chasse-neige
Loisirs et sports,2,Quel est le nom de l’héroïne emblématique de la saga de jeux vidéos Tomb Raider ?,Lara Croft
Loisirs et sports,3,Quel “Dominique” est connu pour être le présentateur de l'émission “Turbo” sur M6 depuis plus de 35 ans ?,Dominique Chapatte
Loisirs et sports,4,"Quel handballeur, natif de la Réunion, a été élu meilleur joueur du monde en 1995 ?",Jackson Richardson
Loisirs et sports,5,"Au football, combien de fois le Real Madrid a-t-il remporté la Ligue des Champions ?",15
Loisirs et sports,Départage,Que représentent les cinq anneaux sur le drapeau des Jeux olympiques ?,L'union des cinq continents ou Les continents
Loisirs et sports,Départage,Quel athlète jamaïcain détient les records du monde du 100 mètres et du 200 mètres ?,Usain Bolt
Pop culture,1,"En 1979, quel chanteur rencontra le succès avec : ""Je l'aime à mourir"" ?",Francis Cabrel
Pop culture,2,"En 2008, quel film retrace les fabuleuses aventures d'un indien malchanceux devenant riche grâce à un jeu télévisé ?",Slumdog Millionaire
Pop culture,3,"Dans les années 1970, à quel chanteur de soul américain doit-on les tubes : ""Isn't She Lovely"" et ""Superstition ?",Stevie Wonder (ou Steveland Judkins-Morris)
Pop culture,4,Quel journaliste et animateur de télévision apprend à jouer aux jeux vidéos sur Twitch depuis 2023 ?,Samuel Étienne
Pop culture,5,"Dans la bande dessinée Tintin, à quel pirate cruel associe-t-on le trésor de la Licorne ?",Rackham Le Rouge
Pop culture,1,Quel film des Inconnus remporte le “César de la Meilleure Première Oeuvre” devenu aujourd'hui “Meilleur premier film” ?,Les Trois Frères
