category,question,answer
"Pop culture, loisirs et sports","En 2010, lors de quel tournoi du Grand Chelem Nicolas Mahut et John Isner ont-ils battu le record de durée pour un match de tennis ?",Wimbledon
"Pop culture, loisirs et sports","Quel artiste marseillais devient, en 2020, le plus gros vendeur de disques de l'histoire du rap français ?",Jul
"Pop culture, loisirs et sports","Quel personnage de film d'animation, créé par Michel Ocelot, est un petit garçon africain, opposé à une sorcière nommée Karaba ? ",Kirikou
"Pop culture, loisirs et sports","Quelle présentatrice de ""Zone Interdite"" depuis 2006, a fait ses débuts en animant ""La minute pop"" du ""Petit journal"" de Yann Barthès ? ",Ophélie Meunier
"Pop culture, loisirs et sports","Dans un jeu de Monopoly classique, de quelle couleur sont les hôtels ?",Rouges
"Pop culture, loisirs et sports",A quel sport associe-t-on le bouclier de Brennus ?,Le rugby
"Pop culture, loisirs et sports","En 1984, dans quel tube des Rita Mitsouko Catherine Ringer dit ""Moretto, comme ta bouche est immense, quand tu souris"" ? ",Marcia Baïla
"Pop culture, loisirs et sports","En 2014, quel film, avec Chantal Lauby et Christian Clavier, annonce sur son affiche : "" 4 mariages, 2 têtes d'enterrement"" ?",Qu'est ce qu'on a fait au Bon Dieu
"Pop culture, loisirs et sports","D'après le titre d'une des chansons de Phoebe dans la série ""Friends"", quel animal pue ?",Le chat
"Pop culture, loisirs et sports","A quelle série de bandes dessinées appartient l'album intitulé ""La Marque jaune"", sorti en 1953 ?",Blake et Mortimer
"Pop culture, loisirs et sports",A quel acteur et humoriste Mélissa Theuriau est-elle mariée ?,Jamel Debbouze
Vie quotidienne,"M.J.C. est l'abréviation de ""maison des jeunes et de...",La culture
Vie quotidienne,"Quel plat des Alpes, qui se mange à l'aide de petits cubes de pain, est préparé dans un fromage que l'on fait fondre avec du vin blanc ? ",La fondue savoyarde
Vie quotidienne,Quel nom porte l'espace d'animation qui met à disposition du public une collection de jeux et jouets ? ,Une ludothèque
Vie quotidienne,"Par opposition à ""numérique"", quel adjectif qualifie la photographie utilisant une pellicule, rendue photosensible par des procédés chimiques ? ",Argentique
Vie quotidienne,"Quel système américain de géolocalisation par satellites, désigné par un sigle de trois lettres, a été rendu opérationnel dans les années 90 ? ",GPS
Vie quotidienne,Quelle plante cultive-t-on en viticulture ?,La vigne
Vie quotidienne,"De quel pays est originaire le plat appelé : ""osso-buco"" ?",Italie
Vie quotidienne,"En Californie, quel technopôle doit son nom à la matière première utilisée par ses entreprises, le silicium ?",La Silicon Valley
Vie quotidienne,Combien d'étoiles compte le drapeau européen ?,Douze
Vie quotidienne,"Quel mot latin, signifiant ""un certain"", emploie-t-on pour parler d'un homme dont on ignore le nom ? ",Un quidam
Vie quotidienne,Quel professionnel de santé utilise des aiguilles fines pour stimuler des points spécifiques du corps ?,Un acupuncteur
