category,order,question,answer
Manche 1,1,L'anniversaire pour un an de mariage est célébré lors des noces de...,Coton
Manche 1,2,"Dans le film d'animation de Sylvain Chomet, sorti en 2003, de quel animal ""Les Triplettes de Belleville"" raffolent-elles ?",La grenouille
Manche 1,3,"Dans Babar, quel est le nom de la reine des éléphants ?",Céleste
Manche 1,4,"Quelle artiste britannique a sorti quatre albums au total : “19”, “21”, “25” et “30” ?",Adèle
Manche 1,5,"Dans le générique “La Petite Maison dans la Prairie”, comment s'appelle la petite fille joyeuse et rêveuse qui chute accidentellement dans le pré ?",Carrie ou Caroline Celestia
Manche 1,6,Quel empereur mongol est considèré comme le plus grand conquérant de l'histoire ?,Gengis Khan
Manche 1,7,"Quel est le nom de famille du peintre impressionniste prénommé Auguste, et de son fils cinéaste, prénommé Jean ?",Renoir
Manche 1,8,Comment s'appelait le premier avion supersonique commercial ?,Concorde
Manche 1,9,Quelle mer intérieure de la Méditerranée borde les côtes de l'île grecque appelée Lesbos ?,La mer Égée
Manche 1,10,"En novembre 1970, après la mort du général de Gaulle, quel journal a eu pour phrase de titre : ""Bal tragique à Colombey - 1 mort"" ?",Hara Kiri
Manche 1,11,Quel document contient l'identité du titulaire d'un compte et ses coordonnées bancaires ?,Un relevé d'identité bancaire
Manche 1,12,Quel joueur de tennis a remporté le tournoi de Wimbledon en 2024 ?,Carlos Alcaraz
Manche 1,13,"En 1895, quel roman de Herbert George Wells, portant sur le voyage dans le temps, devient un classique de la science fiction ?",La Machine à explorer le temps
Manche 1,14,Quelle chanteuse canadienne a réinterprété le titre “Dernière Danse” de Kyo en 2023 ?,Cœur de Pirate
Manche 1,15,"En janvier 2025, quelle personnalité enregistre le plus grand nombre d'abonnés sur Youtube ?",MrBeast
Manche 1,16,"En France, en quelle année fut promulguée la loi instituant les congés payés annuels ?",1936
Manche 1,17,"Au jeu du Nain jaune, quelle carte est le Nain jaune ?",Le 7 de carreau
Manche 1,18,Quelle est la racine carrée de 144 ?,Douze
Manche 1,19,Quel État membre de l'Union européenne est à la fois voisin de la Lituanie et de l'Estonie ?,La Lettonie
Manche 1,20,"Quel pilote, considéré comme une légende du rallye, a 9 titres consécutifs en WRC entre 2004 et 2022 ?",Sébastien Loeb
Manche 1,21,"Comment appelle-t-on le trou d'une aiguille, où passe le fil ?",Le chas
Manche 1,22,"Dans le nom ""raz-de-marée"", quelle est la dernière lettre du mot ""raz"" ?",Z
Manche 1,23,"Quelle rivière d'Europe centrale a un nom qui désigne, en langage familier français, une flatulence ?",La prout
Manche 1,24,Sur quelle pochette d'un album de Nirvana voit-on un bébé qui nage vers un billet retenu par un hameçon ?,Nevermind
Manche 1,25,"Qu'est-ce qui peut être ""de fa"", ""anglaise"" ou à ""molette"" ?",Une clé
Manche 1,26,"Quelle préparation culinaire peut être ""norvégienne"" quand elle est sucrée et ""aux fines herbes"" quand elle est salée ?",L'omelette
Manche 1,27,"Au football, quel est le nom de la zone rectangulaire délimitée à 16,50 m de la ligne de but ?",La surface de réparation
Manche 1,28,À quelle famille d'instruments de musique appartiennent le bongo et le triangle ?,Les instruments à percussion
Manche 1,29,Combien de grammes compte un kilogramme ?,Mille
