category,order,question,answer
Manche 1,1,Comment nomme-t-on l'indice de la Bourse de Tokyo ?,Le Nikkei
Manche 1,2,"Qui a réalisé “True Lies” en 1994, avec Arnold Schwarzenegger et Jamie Lee Curtis ?",James Cameron
Manche 1,3,Comment appelle-t-on un collectionneur de pipes ?,Un pipomane ou pipophile
Manche 1,4,Dans quel jeu vidéo les personnages font-ils des pas de danse pour célébrer une victoire ?,Fortnite
Manche 1,5,"Quel Premier ministre s'est inspiré du titre d'une chanson de Lorie, pour recommander aux Français d'adopter : la ""positive attitude"" ?",Jean-Pierre Raffarin
Manche 1,6,Combien font 3 fois 2 fois 1 ?,6
Manche 1,7,"En 2002, quel ex-lofteur voulait ""choper le cum-cum"" dans une de ses chansons ?",Félicien
Manche 1,8,Quel fruit de mer est mis à l'honneur lors de la célèbre Braderie de Lille ?,La moule
Manche 1,9,Quel site archéologique de Jordanie est connu pour ses immenses façades sculptées dans la roche ?,Pétra
Manche 1,10,De quel groupe de rock Charlie Watts était-il le batteur emblématique ?,The Rolling Stones
Manche 1,11,À quel auteur doit-on “Le Crime de l'Orient-Express” ?,Agatha Christie
Manche 1,12,"En décembre 2001, quelle Miss France est élue Miss Europe 2002 ?",Élodie Gossuin ou Élodie Lacherie-Gossuin
Manche 1,13,Quel pays possède une barrière de corail longue de 2000 kilomètres ?,L'Australie
Manche 1,14,Dans quelle série télévisée le héros est-il un jeune chirurgien autiste ?,Good Doctor
Manche 1,15,"À quoi ressemble le logo de TikTok, l'appli mobile très populaire chez les ados ?",Une note de musique
Manche 1,16,"Lors de la coupe du monde 1998, quel hymne de Gloria Gaynor a été repris par les footballeurs français ?",I Will Survive
Manche 1,17,"Quel surnom, inspiré de la mythologie nordique, donne-t-on aux personnes qui perturbent les discussions sur Internet ?",Un troll
Manche 1,18,"Quelle chanteuse britannique déjantée pourrait s'appeler en français ""Amy Maison-du-Vin"" ?",Amy Winehouse
Manche 1,19,Quel grand couturier a été le compagnon de Pierre Bergé pendant plus de 50 ans ?,Yves Saint Laurent
Manche 1,20,Sous quel prénom de 3 lettres le rappeur Julien Marie est-il plus connu ?,JUL
Manche 1,21,,
Manche 1,22,,
Manche 1,23,,
Manche 1,24,,
Manche 1,25,,
Manche 1,26,,
Manche 1,27,,
Manche 1,28,,
Manche 1,29,,
Manche 1,30,,
Connaissance du monde,1,,
Connaissance du monde,2,,
Connaissance du monde,3,,
Connaissance du monde,4,,
Connaissance du monde,5,,
Connaissance du monde,1,,
Connaissance du monde,2,,
Connaissance du monde,3,,
Connaissance du monde,4,,
Connaissance du monde,5,,
Connaissance du monde,Départage,,
Connaissance du monde,Départage,,
Loisirs et sports,1,,
Loisirs et sports,2,,
Loisirs et sports,3,,
Loisirs et sports,4,,
Loisirs et sports,5,,
Loisirs et sports,1,,
Loisirs et sports,2,,
Loisirs et sports,3,,
Loisirs et sports,4,,
Loisirs et sports,5,,
Loisirs et sports,Départage,,
Loisirs et sports,Départage,,
Pop culture,1,"Dans la célèbre série de BD créée par Hergé, quelle est, hormis sa truffe, la couleur du chien de Tintin ?",Blanche
Pop culture,2,Dans quelle série télé les demi-frères Lucas et Nathan s'affrontent-ils aussi bien dans la vie que sur un terrain de basket ?,Les Frères Scott
Pop culture,3,"Quel film d'épouvante, sorti en France en 2005, commence avec deux hommes enchaînés au mur d'une salle de bains ?",Saw
Pop culture,4,"Complétez les paroles du générique du dessin animé ""Princesse Sarah"" : ""Princesse, princesse, tu es bien jolie, tu viens à l'aide de tous tes...",Amis
Pop culture,5,"Quel est ce groupe qui a fait un carton au début des années 80 avec ""I'm so excited"" ?",The Pointer Sisters
Pop culture,1,Quel petit plombier de jeux vidéos fêtera ses 40 ans le 13 septembre 2025 ?,Super Mario
Pop culture,2,"En 2002, à quel groupe de musique électronique doit-on le titre : ""Harder, Better, Faster, Stronger"" ?",Daft Punk
Pop culture,3,"Dans les bandes dessinées de Lucky Luke, quel objet est, la plupart du temps, suspendu au collier de Rantanplan ?",Une étoile ou Une étoile de shérif
Pop culture,4,"Dans quel film, sorti en 1996, Georges Clooney et Quentin Tarantino sont-ils frères ?",Une nuit en enfer
Pop culture,5,"Dans le dessin animé ""Peter Pan"" de Walt Disney, quelle héroïne est la grande soeur de Jean et Michel ?",Wendy
Pop culture,Départage,"Au Québec, quelle célèbre saga d'animation s'intitule ""histoire de jouets"" ?",Toy Story
Pop culture,Départage,"De quel ""James Bond"" Adèle a-t-elle interpérété la chanson du générique ?",Skyfall
Savoirs académiques,1,,
Savoirs académiques,2,,
Savoirs académiques,3,,
Savoirs académiques,4,,
Savoirs académiques,5,,
Savoirs académiques,1,,
Savoirs académiques,2,,
Savoirs académiques,3,,
Savoirs académiques,4,,
Savoirs académiques,5,,
Savoirs académiques,Départage,,
Savoirs académiques,Départage,,
Vie quotidienne,1,Quel légume est indispensable pour faire du tzatziki ?,Le concombre
Vie quotidienne,2,Comment appelle-t-on la partie métallique de l'ampoule qui se visse dans la douille ?,Le culot ou le plot
Vie quotidienne,3,"Quel organe contenant plus de 200 millions de neurones les chercheurs appellent-ils notre ""2ème cerveau"" ?",L'intestin
Vie quotidienne,4,Quel prénom a été porté par 2 rois de France et 2 Présidents de la République ?,François
Vie quotidienne,5,"En 1968, dans quel pays la Banque nationale a-t-elle créé une récompense surnommée : ""Le prix Nobel d'économie"" ?",La Suède
Vie quotidienne,1,Quel nom de meuble donne-t-on aux petits toasts servis à l'apéritif ?,Canapés
Vie quotidienne,2,De quel organe du corps humain étudie-t-on l'activité électrique grâce à un encéphalogramme ?,Le cerveau
Vie quotidienne,3,"À quel ingrédient de base mélange-t-on la noisette et le sucre pour fabriquer du ""Gianduja"" (djann-dou-ya) ?",Du chocolat
Vie quotidienne,4,"Pendant combien d'années, Jacques Chirac a-t-il été Président de la République française ?",Douze
Vie quotidienne,5,"Quel groupe créé en 1999 réunit pays industrialisés et pays émergents, afin d'organiser l'économie mondiale ?",Le G-20
Vie quotidienne,Départage,"En plus de la rubéole et des oreillons, de quelle maladie la vaccination ROR protège-t-elle ?",La rougeole
Vie quotidienne,Départage,En l'honneur de quel fruit la ville de Menton organise-t-elle une fête tous les ans ?,Le citron
Éliminatoire,1,"Fondée en 1971, ma première boutique a vu le jour à Seattle ; je suis reconnue mondialement pour mon logo représentant une sirène stylisée ; mon nom est inspiré d’un personnage de roman et mes établissements sont présents dans plus de 80 pays ; je propose des thés, pâtisseries, et boissons glacées mais je suis surtout reconnue pour ma spécialité : le café... Je suis :",Starbucks
Éliminatoire,2,"Présent chez l’enfant comme chez l’adulte, je suis un trouble digestif fréquent, souvent lié à une alimentation déséquilibrée ou à un manque d’hydratation ; je ralentis le transit intestinal, pouvant causer des douleurs abdominales et un inconfort prolongé ; mon traitement repose principalement sur une alimentation riche en fibres et une bonne hydratation ; mon nom vient du latin ""constipare"", signifiant ""serrer, compresser""... Je suis :",La constipation
Éliminatoire,3,,
Éliminatoire,4,,
Finale,Connaissance du monde 1,"Quelle ville de Belgique est souvent surnomée ""La Venise du Nord"" ?",Bruges
Finale,Connaissance du monde 2,Combien un papillon possède-t-il d'ailes ?,4 (2 paires)
Finale,Connaissance du monde 3,"Avec le français, l'allemand et l'italien, quelle est la quatrième langue officielle de la Suisse ?",Le romanche
