category,question,answer
Savoirs académiques,"“A noir, E blanc, I rouge...” , quelle couleur Arthur Rimbaud attribue-t-il au U ?",Le vert
Pop culture,"“L'humanité court à son suicide si le monde n'adopte pas la non-violence"". A quel homme d'État indien attribue-t-on cette phrase ?",Gandhi ou Mohandas Karamchand
Connaissance du monde,“Notre père qui êtes aux Cieux Restez-y. Et nous nous resterons sur la Terre. Qui est quelquefois si jolie.” Qui a écrit ces vers ?,Jacques Prévert
Pop culture,"A Atlanta, quel athlète américain est sacré champion olympique du 200 m et du 400 m ?",Michael Johnson
Pop culture,"À base de quels végétaux prépare-t-on une garniture dite ""à la forestière"" ?",Les champignons
Pop culture,"A Berlin, quel est le nom de la place sur laquelle se dresse la tour de la télévision ?",Alexanderplatz
Pop culture,A bord de quel baleinier le capitaine Achab poursuit-il Moby Dick ?,Le Pequod
Pop culture,"A ce jour, quel est l'âge d'une personne née en juin 1977 ?",33 ans
Connaissance du monde,A cheval sur quelle chaîne de montagnes se situe le Pays basque ?,Les Pyrénées
Savoirs académiques,"A cheval, lorsqu'on a les jambes de part et d'autre de sa monture, on dit qu'on se tient à...",Califourchon
Pop culture,A combien de bouteilles champenoises ordinaires correspond la contenance d'un mathusalem ?,8 bouteilles
Pop culture,"A combien de bouteilles champenoises ordinaires, correspond la contenance d'un nabuchodonosor ?",20
Pop culture,À combien de bouteilles ordinaires de champagne le réhoboam équivaut-il ?,Six
Pop culture,A combien de degrés Celsius correspondent 212 degrés Fahrenheit ?,100 °C
Pop culture,À combien de degrés de latitude se trouve la ligne de l'équateur ?,Zéro
Pop culture,A combien de jeux Olympiques Philippe Candeloro a-t-il gagné des médailles ?,2
Pop culture,A combien de jours équivalent 72 heures ?,Trois
Pop culture,A combien de jours équivalent 86400 secondes ?,1 jour
Pop culture,"À combien de levées correspond le “petit chelem”, au bridge ?",Douze
Pop culture,A combien de mètres carrés équivaut un hectare ?,10 000 mètres carrés
Pop culture,A combien de milligrammes équivaut 1 décigramme ?,100 milligrammes
Pop culture,A combien de personnes en même temps est marié un bigame ?,2
Pop culture,A combien est égale la moitié de deux fois deux ?,2
